0;-11;175
1;54;10
2;423;116
3;334;22
4;120;252
5;169;150
6;86;2
7;454;246
8;229;16
9;25;88
10;139;259
11;237;140
12;219;79
13;296;96
14;176;178
15;133;167
16;312;249
17;133;297
18;83;220
19;282;31
20;14;53
21;56;44
22;28;185
23;188;299
24;119;297
25;306;59
26;171;179
27;339;20
28;454;102
29;46;98
30;417;150
31;116;117
32;108;114
33;227;69
34;142;188
35;38;139
36;353;161
37;63;17
38;154;90
39;3;288
40;465;179
41;305;38
42;115;28
43;477;194
44;432;95
45;145;265
46;224;216
47;481;39
48;480;132
49;382;274
50;118;231
51;496;72
52;469;234
53;357;0
54;412;67
55;212;216
56;107;185
57;31;199
58;136;220
59;81;8
60;226;151
61;132;270
62;220;75
63;361;253
64;109;134
65;129;207
66;416;200
67;285;60
68;156;248
69;136;259
70;35;235
71;611;175
